Gate Type,Fan-In,Fan-Out,Total Gate Count,Critical Path,Logic Depth
AND,1,1,23632,8,3
OR,5,2,21429,10,6
NOT,3,3,18860,6,4
XOR,1,2,24620,9,5
XOR,3,3,23869,6,6
NAND,4,1,20105,10,9
XOR,1,4,19081,5,5
XOR,2,3,15773,8,4
XOR,2,2,18710,9,5
OR,2,1,23370,10,5
AND,2,1,22984,10,7
OR,3,1,17751,5,3
NAND,3,4,22250,6,9
XOR,1,4,21903,6,5
XOR,2,3,22663,9,8
OR,3,2,16791,5,7
NOT,5,4,15863,7,9
NAND,1,1,19932,8,9
XOR,1,3,24262,9,8
XOR,2,2,22457,8,9
NOT,4,1,23550,8,4
AND,4,4,17810,10,6
NOT,1,4,17567,6,5
NAND,1,4,20337,8,4
NAND,2,2,24587,10,8
OR,5,2,21885,7,8
AND,2,4,24172,10,7
NAND,2,1,20662,5,8
OR,3,4,16128,5,4
XOR,2,3,18333,5,8
OR,4,4,15568,10,4
NOT,5,1,19761,8,4
AND,1,4,22675,7,9
XOR,1,3,19629,7,6
OR,1,4,23920,10,9
XOR,2,2,18656,10,8
AND,2,4,20406,8,9
AND,2,4,20143,7,6
AND,3,1,23292,6,6
NAND,3,1,16816,7,9
NAND,4,2,19649,10,9
AND,5,4,23700,10,6
XOR,1,2,19260,5,8
NAND,5,3,20982,7,4
NAND,2,4,19724,5,5
XOR,4,1,23186,8,7
NOT,5,4,24105,5,7
XOR,3,3,17117,9,3
XOR,1,4,19867,10,9
OR,5,3,17295,8,4
XOR,1,2,22804,8,5
OR,1,2,16934,9,6
NOT,4,1,22691,6,3
NAND,5,4,20525,10,5
NOT,4,2,19528,5,5
OR,2,4,22754,9,6
AND,2,4,23742,10,7
OR,1,4,24857,8,6
XOR,3,3,15021,5,4
NOT,4,2,19643,8,4
AND,3,3,21828,6,9
AND,2,3,18476,10,7
NAND,1,4,20237,8,8
AND,2,1,18946,6,6
NAND,2,4,15330,9,7
NOT,2,3,22132,5,7
NOT,5,2,21610,5,4
OR,2,2,23601,5,5
NAND,3,4,18848,6,4
XOR,2,1,18812,8,5
NOT,1,2,24454,7,3
AND,5,1,23644,10,7
AND,5,3,20877,5,4
NAND,2,1,19024,5,7
XOR,3,1,16626,7,4
NAND,2,3,22414,6,6
NOT,1,3,22705,8,8
NAND,4,1,19771,7,8
AND,4,2,18927,5,8
NAND,2,4,20769,9,7
OR,1,2,15369,5,9
XOR,1,1,22246,8,7
XOR,4,3,24649,5,5
OR,5,2,19773,10,9
XOR,5,1,15406,7,6
XOR,3,1,21007,9,8
OR,2,1,22368,8,7
AND,2,1,17649,6,6
OR,3,2,20438,8,6
XOR,3,1,20893,6,7
OR,4,4,18432,5,9
OR,2,1,15333,9,6
AND,2,3,16221,9,8
NAND,4,1,24428,7,7
AND,2,2,18634,6,5
NAND,5,4,22035,6,4
NOT,3,3,19081,6,4
OR,2,4,23295,7,6
NAND,4,3,22918,7,6
NOT,1,4,18316,9,7
XOR,2,2,17398,7,7
AND,4,1,21747,5,7
NAND,4,1,21940,10,6
NAND,1,4,21524,8,4
AND,1,3,17598,7,5
AND,3,1,16160,10,4
OR,3,2,22413,7,8
AND,3,4,16388,8,3
NAND,1,1,19772,5,5
XOR,2,1,21123,9,8
AND,2,2,18760,8,8
OR,5,2,21222,9,7
AND,1,1,17570,7,5
OR,2,4,22016,7,4
NOT,3,3,16607,8,5
NAND,2,1,23169,9,9
NOT,1,2,22175,8,5
OR,2,2,19476,10,6
XOR,3,3,23582,10,9
AND,3,4,18600,10,7
NOT,1,3,24677,9,5
AND,1,1,23943,5,8
AND,2,3,15570,10,8
XOR,2,1,21934,9,5
NOT,5,2,17492,7,4
OR,4,4,16871,10,7
NAND,4,2,22876,9,3
OR,2,3,21274,6,7
XOR,4,3,15715,7,6
NOT,3,2,21727,5,5
AND,5,3,22889,5,5
XOR,1,2,20944,9,8
NAND,1,2,20891,5,7
AND,2,2,19912,6,4
NAND,1,2,17831,8,5
NOT,3,3,22354,9,9
XOR,1,4,15063,10,4
AND,2,2,23206,5,5
AND,3,3,22104,5,8
NOT,4,1,15748,8,8
OR,4,2,19105,6,9
AND,5,1,21296,7,3
OR,3,1,23924,8,3
NAND,2,3,15083,8,4
NAND,2,4,21696,9,4
XOR,3,3,22712,5,7
OR,4,1,15559,7,6
AND,1,2,24606,9,5
AND,2,3,16753,9,3
NOT,3,2,19319,10,5
NAND,2,1,19262,10,5
OR,2,4,16442,5,4
OR,5,2,22294,7,8
OR,1,1,23080,10,8
NOT,2,3,16268,7,3
OR,2,3,15400,6,7
XOR,4,4,16720,5,4
AND,5,4,15345,7,3
OR,5,2,18290,8,8
XOR,5,1,24888,10,3
AND,4,2,16931,6,3
XOR,1,2,21177,9,7
OR,5,3,19806,6,8
OR,4,3,22925,9,7
XOR,1,3,22711,8,5
XOR,5,2,22155,8,8
NOT,2,1,24791,5,3
OR,4,3,20407,8,5
NOT,1,3,16354,5,9
AND,1,4,17241,6,8
XOR,3,3,18092,10,8
XOR,3,4,19660,10,5
NAND,3,3,19501,6,4
XOR,2,3,17983,8,9
OR,4,4,22692,10,7
NAND,3,2,20921,7,9
XOR,3,3,17362,6,7
OR,2,2,16495,6,9
